train_loss,train_acc,val_loss,val_acc
43.02065973476164,0.017777777777777778,3.9120603252619857,0.02
3.912060325261985,0.02,3.9120603237679905,0.02
3.9120603237679914,0.02,3.912060322274056,0.02
3.9120603222740558,0.02,3.9120603207801814,0.02
3.9120603207801814,0.02,3.912060319286366,0.02
3.912060319286366,0.02,3.912060317792611,0.02
3.9120603177926103,0.02,3.912060316298915,0.02
3.912060316298915,0.02,3.9120603148052795,0.02
3.9120603148052795,0.02,3.912060313311704,0.02
3.912060313311704,0.02,3.912060311818188,0.02
3.912060311818188,0.02,3.9120603103247316,0.02
3.9120603103247316,0.02,3.9120603088313355,0.02
3.912060308831336,0.02,3.912060307337999,0.02
3.912060307337999,0.02,3.912060305844722,0.02
3.912060305844722,0.02,3.9120603043515056,0.02
3.912060304351505,0.02,3.912060302858348,0.02
3.9120603028583476,0.02,3.912060301365251,0.02
3.9120603013652513,0.02,3.912060299872213,0.02
3.9120602998722127,0.02,3.912060298379236,0.02
3.912060298379236,0.02,3.912060296886317,0.02
3.912060296886318,0.02,3.91206029539346,0.02
3.91206029539346,0.02,3.912060293900661,0.02
3.9120602939006606,0.02,3.912060292407923,0.02
3.9120602924079226,0.02,3.9120602909152433,0.02
3.9120602909152438,0.02,3.912060289422625,0.02
3.912060289422625,0.02,3.9120602879300654,0.02
3.9120602879300654,0.02,3.912060286437565,0.02
3.9120602864375664,0.02,3.9120602849451265,0.02
3.912060284945126,0.02,3.912060283452746,0.02
3.912060283452746,0.02,3.912060281960426,0.02
3.912060281960426,0.02,3.912060280468166,0.02
3.912060280468166,0.02,3.9120602789759653,0.02
3.9120602789759658,0.02,3.9120602774838247,0.02
3.9120602774838242,0.02,3.912060275991743,0.02
3.9120602759917436,0.02,3.9120602744997224,0.02
3.9120602744997224,0.02,3.9120602730077607,0.02
3.9120602730077607,0.02,3.9120602715158586,0.02
3.9120602715158586,0.02,3.9120602700240164,0.02
3.9120602700240164,0.02,3.9120602685322345,0.02
3.9120602685322345,0.02,3.9120602670405114,0.02
3.9120602670405122,0.02,3.912060265548849,0.02
3.912060265548849,0.02,3.912060264057246,0.02
3.9120602640572457,0.02,3.9120602625657033,0.02
3.912060262565703,0.02,3.9120602610742186,0.02
3.9120602610742194,0.02,3.912060259582795,0.02
3.9120602595827956,0.02,3.9120602580914303,0.02
3.9120602580914308,0.02,3.9120602566001264,0.02
3.9120602566001264,0.02,3.912060255108882,0.02
3.912060255108882,0.02,3.9120602536176965,0.02
3.9120602536176965,0.02,3.9120602521265715,0.02
3.9120602521265715,0.02,3.9120602506355064,0.02
3.9120602506355064,0.02,3.9120602491445,0.02
3.9120602491445,0.02,3.9120602476535544,0.02
3.9120602476535544,0.02,3.9120602461626675,0.02
3.9120602461626675,0.02,3.912060244671841,0.02
3.912060244671841,0.02,3.912060243181074,0.02
3.9120602431810747,0.02,3.9120602416903663,0.02
3.9120602416903663,0.02,3.9120602401997195,0.02
3.912060240199719,0.02,3.912060238709131,0.02
3.9120602387091314,0.02,3.9120602372186033,0.02
3.9120602372186033,0.02,3.912060235728135,0.02
3.9120602357281355,0.02,3.9120602342377264,0.02
3.9120602342377264,0.02,3.9120602327473772,0.02
3.9120602327473772,0.02,3.912060231257087,0.02
3.9120602312570867,0.02,3.9120602297668574,0.02
3.9120602297668574,0.02,3.9120602282766876,0.02
3.9120602282766876,0.02,3.9120602267865774,0.02
3.9120602267865774,0.02,3.9120602252965266,0.02
3.9120602252965266,0.02,3.912060223806536,0.02
3.9120602238065354,0.02,3.912060222316604,0.02
3.912060222316604,0.02,3.9120602208267328,0.02
3.9120602208267328,0.02,3.912060219336921,0.02
3.912060219336921,0.02,3.9120602178471686,0.02
3.9120602178471686,0.02,3.9120602163574754,0.02
3.912060216357476,0.02,3.9120602148678425,0.02
3.9120602148678425,0.02,3.9120602133782696,0.02
3.912060213378269,0.02,3.912060211888756,0.02
3.9120602118887557,0.02,3.9120602103993023,0.02
3.9120602103993023,0.02,3.9120602089099075,0.02
3.9120602089099075,0.02,3.9120602074205726,0.02
3.9120602074205726,0.02,3.912060205931298,0.02
3.9120602059312977,0.02,3.9120602044420827,0.02
3.9120602044420822,0.02,3.9120602029529263,0.02
3.912060202952927,0.02,3.912060201463831,0.02
3.91206020146383,0.02,3.9120601999747944,0.02
3.9120601999747944,0.02,3.912060198485817,0.02
3.912060198485817,0.02,3.9120601969969004,0.02
3.9120601969969004,0.02,3.9120601955080425,0.02
3.9120601955080425,0.02,3.9120601940192445,0.02
3.9120601940192445,0.02,3.912060192530506,0.02
3.9120601925305056,0.02,3.912060191041827,0.02
3.912060191041827,0.02,3.912060189553208,0.02
3.912060189553208,0.02,3.9120601880646486,0.02
3.9120601880646486,0.02,3.9120601865761486,0.02
3.9120601865761495,0.02,3.912060185087709,0.02
3.9120601850877086,0.02,3.912060183599328,0.02
3.912060183599328,0.02,3.912060182111007,0.02
3.9120601821110075,0.02,3.912060180622745,0.02
3.912060180622746,0.02,3.9120601791345435,0.02
3.9120601791345435,0.02,3.912060177646401,0.02
3.9120601776464023,0.02,3.9120601761583194,0.02
3.912060176158319,0.02,3.912060174670296,0.02
3.912060174670296,0.02,3.912060173182333,0.02
3.9120601731823323,0.02,3.9120601716944288,0.02
3.9120601716944283,0.02,3.9120601702065847,0.02
3.912060170206584,0.02,3.9120601687188,0.02
3.9120601687187997,0.02,3.912060167231075,0.02
3.912060167231075,0.02,3.912060165743409,0.02
3.9120601657434095,0.02,3.9120601642558035,0.02
3.912060164255803,0.02,3.9120601627682574,0.02
