epoch,train_loss,train_acc,val_loss,val_acc
147,2.8297,0.2531,3.0596,0.1933
148,2.8227,0.2524,3.0779,0.1956
149,2.8224,0.2523,3.0717,0.1822
150,2.8213,0.2531,3.0768,0.1911
151,2.8187,0.2554,3.0526,0.1911
152,2.8163,0.2558,3.0616,0.1867
153,2.8146,0.2555,3.0929,0.1756
154,2.811,0.2568,3.0781,0.1911
155,2.8128,0.2563,3.0351,0.2
156,2.8084,0.2577,3.0596,0.2022
157,2.8091,0.2558,3.0668,0.1867
158,2.8054,0.2577,3.0519,0.2
159,2.8007,0.2588,3.0517,0.1867
160,2.8006,0.258,3.0545,0.1844
161,2.7964,0.2597,3.0628,0.2067
162,2.7925,0.2602,3.0513,0.2044
163,2.7946,0.2599,3.0489,0.18
164,2.789,0.2621,3.0542,0.1956
165,2.7887,0.2623,3.056,0.1911
166,2.7869,0.262,3.054,0.2022
167,2.785,0.2636,3.0577,0.18
168,2.7844,0.2632,3.079,0.1756
169,2.7841,0.2632,3.0759,0.1867
170,2.7793,0.2628,3.0577,0.2022
171,2.7805,0.2624,3.0383,0.1956
172,2.7749,0.2652,3.0544,0.1844
173,2.7758,0.2648,3.0371,0.1956
174,2.77,0.2669,3.0463,0.2067
175,2.7701,0.2655,3.0465,0.1911
176,2.7653,0.2667,3.0303,0.2067
177,2.7651,0.2668,3.0498,0.1933
178,2.7629,0.2676,3.0606,0.1822
179,2.762,0.2688,3.0429,0.1978
180,2.7587,0.2689,3.0476,0.1933
181,2.7571,0.2701,3.0351,0.1933
182,2.7581,0.2698,3.0772,0.1911
183,2.756,0.269,3.0551,0.2044
184,2.7523,0.27,3.0396,0.1933
185,2.7491,0.2715,3.0525,0.2
186,2.7485,0.2714,3.0548,0.2089
187,2.7469,0.2715,3.063,0.1956
188,2.7482,0.2711,3.0518,0.1911
189,2.7432,0.2723,3.0301,0.2022
190,2.7424,0.2716,3.0427,0.2067
191,2.7405,0.2731,3.0565,0.1978
192,2.7337,0.2758,3.0388,0.1933
193,2.734,0.2747,3.0521,0.2
194,2.7366,0.274,3.0419,0.2044
195,2.7332,0.273,3.0469,0.1867
196,2.7316,0.2762,3.032,0.2089
197,2.731,0.276,3.0391,0.2044
198,2.7258,0.277,3.0763,0.1889
199,2.727,0.2752,3.0264,0.2
