iter	Passed	Remaining
354	359645	1666527
355	360653	1665487
356	361669	1664492
357	362673	1663434
358	363688	1662431
359	364693	1661380
360	365670	1660202
361	366676	1659160
362	367687	1658139
363	368701	1657132
364	369711	1656103
365	370702	1654993
366	371703	1653926
367	372724	1652951
368	373732	1651918
369	374735	1650861
370	375724	1649746
371	376716	1648639
372	377711	1647552
373	378696	1646419
374	379694	1645342
375	380709	1644339
376	381705	1643257
377	382714	1642227
378	383729	1641229
379	384721	1640130
380	385703	1638985
381	386684	1637842
382	387684	1636779
383	388687	1635724
384	389692	1634685
385	390690	1633613
386	391689	1632546
387	392694	1631504
388	393690	1630426
389	394696	1629387
390	395693	1628315
391	396698	1627273
392	397696	1626202
393	398692	1625125
394	399712	1624146
395	400705	1623060
396	401708	1622012
397	402694	1620896
398	403705	1619880
399	404682	1618729
400	405672	1617633
401	406669	1616563
402	407677	1615537
403	408683	1614500
404	409700	1613510
405	410701	1612457
406	411699	1611393
407	412706	1610366
408	413719	1609359
409	414721	1608308
410	415715	1607232
411	416708	1606148
412	417708	1605091
413	418714	1604061
414	419722	1603038
415	420719	1601968
416	421713	1600894
417	422724	1599882
418	423733	1598862
419	424748	1597863
420	425757	1596841
421	426771	1595843
422	427765	1594766
423	428793	1593818
424	429769	1592676
425	430787	1591688
426	431810	1590722
427	432823	1589716
428	433821	1588655
429	434821	1587603
430	435834	1586599
431	436834	1585546
432	437826	1584467
433	438818	1583388
434	439813	1582319
435	440819	1581289
436	441814	1580219
437	442824	1579203
438	443812	1578112
439	444802	1577025
440	445787	1575925
441	446773	1574827
442	447783	1573813
443	448795	1572804
444	449778	1571697
445	450757	1570575
446	451766	1569558
447	452759	1568489
448	453785	1567531
449	454777	1566456
450	455791	1565456
451	456801	1564445
452	457802	1563400
453	458809	1562378
454	459792	1561272
455	460782	1560192
456	461765	1559088
457	462757	1558017
458	463747	1556938
459	464741	1555874
460	465749	1554855
461	466732	1553754
462	467726	1552689
463	468725	1551643
464	469724	1550596
465	470728	1549565
466	471738	1548554
467	472731	1547488
468	473717	1546400
469	474693	1545277
470	475669	1544157
471	476670	1543118
472	477675	1542095
473	478677	1541057
474	479669	1539989
475	480671	1538956
476	481659	1537875
477	482658	1536834
478	483646	1535754
479	484655	1534743
480	485644	1533667
481	486637	1532606
482	487633	1531552
483	488649	1530563
484	489636	1529483
485	490643	1528464
486	491627	1527376
487	492624	1526328
488	493621	1525279
489	494599	1524174
490	495598	1523133
491	496595	1522085
492	497596	1521050
493	498606	1520041
494	499595	1518972
495	500611	1517983
496	501600	1516913
497	502607	1515895
498	503606	1514855
499	504597	1513793
500	505604	1512776
501	506605	1511744
502	507595	1510677
503	508595	1509640
504	509622	1508683
505	510609	1507610
506	511618	1506599
507	512614	1505551
508	513615	1504520
509	514615	1503483
510	515623	1502473
511	516607	1501391
512	517603	1500345
513	518624	1499369
514	519626	1498339
515	520628	1497311
516	521638	1496305
517	522634	1495260
518	523647	1494262
519	524646	1493224
520	525662	1492235
521	526658	1491188
522	527645	1490119
523	528637	1489062
524	529626	1487998
525	530629	1486972
526	531620	1485914
527	532622	1484886
528	533620	1483849
529	534621	1482816
530	535624	1481794
531	536607	1480712
532	537615	1479703
533	538617	1478677
534	539615	1477639
535	540613	1476601
536	541606	1475549
537	542605	1474515
538	543605	1473484
539	544602	1472444
540	545620	1471461
541	546616	1470417
542	547619	1469394
543	548596	1468302
544	549565	1467189
545	550548	1466112
546	551552	1465093
547	552563	1464091
548	553554	1463036
549	554547	1461989
550	555539	1460937
551	556527	1459877
552	557534	1458865
553	558534	1457836
554	559538	1456816
555	560519	1455737
556	561537	1454755
557	562528	1453701
558	563531	1452681
559	564523	1451631
560	565504	1450553
561	566495	1449502
562	567504	1448498
563	568496	1447448
564	569509	1446453
565	570511	1445429
566	571523	1444432
567	572529	1443418
568	573542	1442424
569	574562	1441445
570	575550	1440389
571	576532	1439316
572	577524	1438268
573	578525	1437243
574	579522	1436207
575	580520	1435174
576	581515	1434137
577	582523	1433129
578	583524	1432105
579	584538	1431112
580	585533	1430071
581	586513	1428996
582	587532	1428015
583	588533	1426993
584	589545	1425993
585	590551	1424982
586	591553	1423961
587	592567	1422968
588	593577	1421964
589	594584	1420956
590	595609	1419989
591	596618	1418984
592	597617	1417956
593	598582	1416846
594	599596	1415853
595	600569	1414764
596	601568	1413736
597	602576	1412728
598	603576	1411704
599	604572	1410669
600	605593	1409692
601	606595	1408671
602	607592	1407640
603	608574	1406572
604	609567	1405531
605	610559	1404487
606	611563	1403471
607	612559	1402439
608	613552	1401398
609	614561	1400395
610	615569	1399388
611	616565	1398355
612	617547	1397289
613	618551	1396275
614	619556	1395262
615	620554	1394232
616	621550	1393199
617	622562	1392201
618	623575	1391207
619	624541	1390107
620	625542	1389086
621	626526	1388029
622	627501	1386950
623	628496	1385916
624	629492	1384882
625	630487	1383848
626	631464	1382775
627	632449	1381720
628	633446	1380690
629	634447	1379671
630	635462	1378680
631	636457	1377648
632	637444	1376598
633	638427	1375540
634	639404	1374467
635	640396	1373430
636	641395	1372405
637	642392	1371376
638	643375	1370319
639	644357	1369260
640	645352	1368227
641	646359	1367222
642	647335	1366150
643	648302	1365059
644	649309	1364052
645	650316	1363046
646	651303	1361999
647	652314	1361000
648	653317	1359988
649	654316	1358964
650	655311	1357934
651	656313	1356917
652	657300	1355871
653	658319	1354890
654	659303	1353837
655	660291	1352791
656	661286	1351761
657	662291	1350752
658	663297	1349744
659	664283	1348695
660	665269	1347648
661	666251	1346592
662	667250	1345571
663	668233	1344517
664	669208	1343448
665	670195	1342403
666	671175	1341344
667	672163	1340301
668	673175	1339307
669	674154	1338247
670	675133	1337187
671	676156	1336214
672	677155	1335194
673	678158	1334180
674	679158	1333162
675	680226	1332278
676	681198	1331204
677	682207	1330204
678	683211	1329194
679	684220	1328193
680	685217	1327168
681	686204	1326125
682	687176	1325053
683	688163	1324011
684	689170	1323006
685	690176	1321999
686	691177	1320983
687	692155	1319923
688	693161	1318917
689	694162	1317903
690	695155	1316871
691	696149	1315844
692	697145	1314818
693	698131	1313775
694	699128	1312751
695	700131	1311739
696	701127	1310715
697	702117	1309679
698	703116	1308661
699	704127	1307665
700	705111	1306618
701	706106	1305593
702	707114	1304591
703	708097	1303542
704	709091	1302514
705	710086	1301489
706	711070	1300444
707	712062	1299413
708	713044	1298364
709	714022	1297308
710	715003	1296258
711	715998	1295232
712	716978	1294180
713	717974	1293158
714	718958	1292114
715	719958	1291098
716	720951	1290071
717	721953	1289059
718	722953	1288043
719	723950	1287023
720	724947	1286002
721	725964	1285017
722	726955	1283987
723	727951	1282965
724	728934	1281919
725	729926	1280890
726	730908	1279843
727	731893	1278802
728	732888	1277779
729	733882	1276754
730	734863	1275707
731	735855	1274679
732	736848	1273652
733	737850	1272641
734	738838	1271606
735	739850	1270613
736	740813	1269535
737	741817	1268528
738	742821	1267521
739	743815	1266496
740	744801	1265459
741	745775	1264401
742	746767	1263373
743	747755	1262340
744	748747	1261313
745	749746	1260297
746	750742	1259277
747	751738	1258258
748	752705	1257189
749	753700	1256167
750	754703	1255159
751	755696	1254135
752	756687	1253106
753	757688	1252095
754	758681	1251071
755	759674	1250047
756	760676	1249036
757	761679	1248028
758	762673	1247006
759	763656	1245965
760	764633	1244914
761	765614	1243872
762	766595	1242829
763	767589	1241806
764	768589	1240794
765	769599	1239797
766	770595	1238779
767	771577	1237739
768	772577	1236727
769	773579	1235718
770	774552	1234663
771	775548	1233644
772	776530	1232603
773	777527	1231587
774	778498	1230529
775	779479	1229489
776	780473	1228466
777	781466	1227444
778	782454	1226414
779	783436	1225374
780	784436	1224363
781	785423	1223331
782	786419	1222315
783	787395	1221266
784	788401	1220264
785	789392	1219240
786	790374	1218201
787	791369	1217182
788	792347	1216137
789	793323	1215090
790	794308	1214057
791	795295	1213026
792	796268	1211974
793	797257	1210947
794	798236	1209905
795	799204	1208846
796	800190	1207816
797	801190	1206805
798	802165	1205758
799	803147	1204721
800	804135	1203693
801	805131	1202677
802	806117	1201646
803	807093	1200602
804	808090	1199587
805	809089	1198576
806	810066	1197532
807	811059	1196512
808	812042	1195479
809	813039	1194465
810	814038	1193455
811	815024	1192424
812	816009	1191393
813	816983	1190347
814	817971	1189320
815	818963	1188299
816	819956	1187281
817	820946	1186257
818	821946	1185249
819	822951	1184247
820	823927	1183204
821	824918	1182182
822	825929	1181188
823	826923	1180172
824	827911	1179146
825	828897	1178118
826	829884	1177091
827	830883	1176081
828	831885	1175075
829	832875	1174053
830	833865	1173030
831	834850	1172002
832	835856	1171001
833	836846	1169980
834	837830	1168949
835	838805	1167906
836	839796	1166885
837	840772	1165845
838	841767	1164829
839	842758	1163808
840	843771	1162819
841	844761	1161797
842	845757	1160784
843	846762	1159783
844	847777	1158796
845	848767	1157775
846	849760	1156757
847	850736	1155717
848	851714	1154680
849	852707	1153662
850	853683	1152622
851	854666	1151592
852	855655	1150570
853	856649	1149555
854	857626	1148517
855	858616	1147496
856	859601	1146470
857	860601	1145463
858	861591	1144442
859	862591	1143434
860	863592	1142429
861	864592	1141422
862	865584	1140405
863	866566	1139374
864	867544	1138338
865	868534	1137318
866	869518	1136291
867	870504	1135265
868	871499	1134253
869	872499	1133246
870	873494	1132233
871	874463	1131187
872	875459	1130175
873	876441	1129145
874	877435	1128131
875	878430	1127118
876	879426	1126107
877	880414	1125085
878	881405	1124067
879	882387	1123038
880	883357	1121993
881	884350	1120979
882	885342	1119963
883	886341	1118955
884	887312	1117913
885	888297	1116888
886	889285	1115868
887	890281	1114857
888	891263	1113828
889	892249	1112805
890	893224	1111768
891	894210	1110745
892	895182	1109705
893	896185	1108703
894	897180	1107692
895	898160	1106662
896	899141	1105633
897	900122	1104604
898	901109	1103583
899	902092	1102557
900	903095	1101555
901	904084	1100537
902	905081	1099528
903	906067	1098506
904	907067	1097501
905	908064	1096492
906	909067	1095491
907	910061	1094479
908	911047	1093456
909	912037	1092440
910	913015	1091409
911	913992	1090377
912	914980	1089357
913	915965	1088335
914	916937	1087297
915	917925	1086278
916	918909	1085255
917	919908	1084249
918	920897	1083231
919	921871	1082196
920	922863	1081182
921	923849	1080163
922	924833	1079139
923	925799	1078095
924	926786	1077075
925	927774	1076058
926	928770	1075049
927	929783	1074060
928	930766	1073036
929	931758	1072022
930	932749	1071008
931	933730	1069983
932	934729	1068977
933	935719	1067961
934	936718	1066957
935	937699	1065932
936	938691	1064919
937	939676	1063897
938	940665	1062881
939	941668	1061880
940	942648	1060855
941	943643	1059846
942	944652	1058852
943	945630	1057824
944	946618	1056806
