iter	MultiClass
0	3.866941324
1	3.82904661
2	3.790746003
3	3.766998275
4	3.743114908
5	3.718284117
6	3.699224713
7	3.674037304
8	3.652629437
9	3.632652471
10	3.615690001
11	3.60026708
12	3.584630705
13	3.566411744
14	3.544861985
15	3.527978538
16	3.513098772
17	3.502500723
18	3.491995849
19	3.481019386
20	3.468211344
21	3.455595916
22	3.445642561
23	3.433982471
24	3.423313182
25	3.414961038
26	3.402917273
27	3.393834692
28	3.384006939
29	3.378096088
30	3.368799744
31	3.360541303
32	3.353050431
33	3.345794697
34	3.337438083
35	3.331737285
36	3.322909037
37	3.316282542
38	3.309119942
39	3.300890052
40	3.292379378
41	3.28486302
42	3.278297429
43	3.270349346
44	3.265066748
45	3.258739255
46	3.252798141
47	3.246437088
48	3.240122864
49	3.234837994
50	3.229688623
51	3.222966419
52	3.216767803
53	3.210888568
54	3.205012291
55	3.200308446
56	3.195151296
57	3.189744003
58	3.182006267
59	3.175889645
60	3.170317583
61	3.164417703
62	3.158014601
63	3.152435757
64	3.147592891
65	3.142750991
66	3.137629238
67	3.132732634
68	3.12726833
69	3.121749703
70	3.117362044
71	3.111605616
72	3.108518439
73	3.103865202
74	3.100295914
75	3.095185528
76	3.091247161
77	3.087849283
78	3.080961304
79	3.075222515
80	3.07207304
81	3.068267593
82	3.063546906
83	3.05905479
84	3.055281355
85	3.05112208
86	3.046131897
87	3.042773395
88	3.038960587
89	3.03469888
90	3.030851789
91	3.026863479
92	3.023675519
93	3.018600112
94	3.014670112
95	3.011454258
96	3.006643335
97	3.001692884
98	2.998123766
99	2.994112157
100	2.990679844
101	2.986997928
102	2.982774671
103	2.978732908
104	2.974885666
105	2.971802012
106	2.967771387
107	2.964103547
108	2.96104634
109	2.957230456
110	2.953465146
111	2.947908548
112	2.944059145
113	2.940438175
114	2.937100815
115	2.932396428
116	2.928173718
117	2.923851914
118	2.919998852
119	2.915145332
120	2.910682491
121	2.90716115
122	2.902353125
123	2.898706387
124	2.89512745
125	2.890637507
126	2.887318074
127	2.883142998
128	2.879342287
129	2.875805561
130	2.871545011
131	2.867568859
132	2.864176851
133	2.859770766
134	2.854974814
135	2.851265413
136	2.847111452
137	2.843163681
138	2.839687054
139	2.834168232
140	2.831270199
141	2.827566644
142	2.823552302
143	2.819661347
144	2.817024197
145	2.813166572
146	2.809694237
147	2.806015463
148	2.803039406
149	2.800160156
150	2.797787952
151	2.794829099
152	2.79213286
153	2.788746448
154	2.784657363
155	2.782473382
156	2.779947512
157	2.777246501
158	2.774138156
159	2.770317892
160	2.766954833
161	2.764405109
162	2.762394183
163	2.759417927
164	2.756240485
165	2.754308341
166	2.752344636
167	2.749907965
168	2.7472549
169	2.744524494
170	2.742783009
171	2.739156987
172	2.736101871
173	2.732818646
174	2.730209441
175	2.727614833
176	2.724508527
177	2.721240218
178	2.718229359
179	2.715610682
180	2.712226804
181	2.709792954
182	2.706967362
183	2.704113068
184	2.701933987
185	2.698181037
186	2.695977001
187	2.693031312
188	2.691429802
189	2.68879045
190	2.685748369
191	2.683162151
192	2.680706165
193	2.678518867
194	2.676106603
195	2.673816516
196	2.671600086
197	2.668600708
198	2.666674838
199	2.664969996
200	2.662625252
201	2.660503322
202	2.65818932
203	2.655650854
204	2.653845023
205	2.652334308
206	2.64964451
207	2.647170606
208	2.645552016
209	2.644113709
210	2.642241061
211	2.640517713
212	2.638445302
213	2.63633544
214	2.631895257
215	2.630189733
216	2.627942073
217	2.626067452
218	2.624096608
219	2.622372536
220	2.61912366
221	2.616939564
222	2.613785857
223	2.610936123
224	2.608741903
225	2.606023057
226	2.603974097
227	2.601220501
228	2.600193284
229	2.59814809
230	2.596920164
231	2.595428531
232	2.593722223
233	2.592539946
234	2.589706709
235	2.58722705
236	2.585137748
237	2.583460422
238	2.581212539
239	2.57944795
240	2.577774308
241	2.575171604
242	2.573283054
243	2.571987692
244	2.570502868
245	2.568597367
246	2.56686886
247	2.564602594
248	2.562709035
249	2.559835428
250	2.557528772
251	2.556004099
252	2.552987702
253	2.551956318
